symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
KCTD10	0.37334160913154396	0.5970416530604168	No data	No data	No data	No data	No data	No data	No data	No data
ACLY	0.37265000235256285	No data	No data	No data	No data	No data	No data	No data	No data	No data
THRB	0.37199238984722693	No data	No data	No data	No data	No data	No data	No data	No data	No data
LRP1	0.37177590868656835	0.6037786949446	No data	No data	No data	No data	No data	No data	No data	No data
SLC22A4	0.371665373859416	0.6102298915318646	No data	No data	No data	No data	No data	No data	No data	No data
CYP46A1	0.3701381234709881	0.6088491073739816	No data	No data	No data	No data	No data	No data	No data	No data
SLC12A3	0.36967738270191025	No data	No data	No data	No data	No data	No data	No data	No data	No data
C1R	0.3696325925575974	0.6062021984984494	No data	No data	No data	No data	No data	No data	No data	No data
THRA	0.3682965913003799	No data	No data	No data	No data	No data	No data	No data	No data	No data
BMPR1B	0.3682318553936289	0.6057134411355736	No data	No data	No data	No data	No data	No data	No data	No data
ATP1B1	0.36820619959091705	0.6041514122942081	No data	No data	No data	No data	No data	No data	No data	No data
GATB	0.3680402295380026	0.6053982311538139	No data	No data	No data	No data	No data	No data	No data	No data
CXCL8	0.36784691416204085	0.5676753330614791	No data	No data	No data	No data	No data	No data	No data	No data
PLAUR	0.36771559359493117	0.5984352739817307	No data	No data	No data	No data	No data	No data	No data	No data
MCUB	0.3675634890277581	0.6046140292148473	No data	No data	No data	No data	No data	No data	No data	No data
ADORA2B	0.36733814393562864	No data	No data	No data	No data	No data	No data	No data	No data	No data
C11orf58	0.3667789069581205	0.6033234512860436	No data	No data	No data	No data	No data	No data	No data	No data
CRTAC1	0.3664607305521112	0.6028000752582797	No data	No data	No data	No data	No data	No data	No data	No data
NGF	0.3655358931922319	0.5930513463861339	No data	No data	No data	No data	No data	No data	No data	No data
MRTFA	0.3654249799736298	0.5870155770331371	No data	No data	No data	No data	No data	No data	No data	No data
ATP5MC1	0.36502995503779206	0.6004465581804475	No data	No data	No data	No data	No data	No data	No data	No data
STAG1	0.36449576257605554	0.5995678521437814	No data	No data	No data	No data	No data	No data	No data	No data
PALLD	0.36425402732369433	0.5962909882039997	No data	No data	No data	No data	No data	No data	No data	No data
ADORA3	0.36398931607982665	No data	No data	No data	No data	No data	No data	No data	No data	No data
ADORA1	0.36383223746658383	No data	No data	No data	No data	No data	No data	No data	No data	No data
GPSM1	0.3619050796341592	0.5953063754229534	No data	No data	No data	No data	No data	No data	No data	No data
THADA	0.3611157746284302	0.5934000978252949	No data	No data	No data	No data	No data	No data	No data	No data
VKORC1	0.3604072643033825	No data	No data	No data	No data	No data	No data	No data	No data	No data
